序号,"武将类型(0派遣开始对话;1猛将;2将军;3智将;4策士,5女将)",对话内容
id,nType,strContent
int,int,string
1,0,将士们唱着“♪大王派我来巡山♪”高高兴兴地出门了~等着我们的好消息吧！
2,0,武将们欢快地跑向了各大区域，主公别忘了定期回来查看大家遇到的事件！
3,0,派遣成功！！请主公先去忙自己的事，稍后武将们会给你惊喜(╯3╰)
4,0,我们这就去巡山了！大王，别忘了经常来看我们！
5,1,巡山中！勿扰！
6,1,我要为主公占领这片山头！
7,1,等我退休了，就在这个村当个保安吧。
8,1,哎嘿哎嘿~
9,2,看到百姓安居乐业，真是欣慰啊。
10,2,大家别偷懒啊！
11,2,主公，我们都忙着呢。
12,2,战场上打累了，来这儿轻松一下也不错
13,3,能文能武就是我！
14,3,休息，休息一下。
15,3,真希望乱世快点过去啊
16,3,五骑五枪五弓，哪个比较好？
17,4,出来转转，能学到很多东西。
18,4,我有点想家了。
19,4,我就是身体虽小头脑异于常人的……
20,4,我用智慧成就你的梦想。
21,5,哎呀，别点我。
22,5,袖子脏了，去水里洗洗吧。
23,5,刚刚我看到有人偷懒了！
24,5,嘻嘻，主公你来啦。
