试题id,试题类型,题目描述（最多86个汉字）,答案选项（最多5个汉字）,正确答案(填写正确答案的位置),题目倒计时,正确奖励1,正确奖励2,正确奖励3,正确奖励4,正确奖励5,正确奖励6（不要填，会挡住下一题按钮）,错误奖励1,错误奖励2,错误奖励3,错误奖励4,错误奖励5,错误奖励6
id,nType,nDesc,nAnswer,nRightAnswer,nCountDown,nReward1,nReward2,nReward3,nReward4,nReward5,nReward6,nRewardError1,nRewardError2,nRewardError3,nRewardError4,nRewardError5,nRewardError6
int,int,string,string,int,int,string,string,string,string,string,string,string,string,string,string,string,string
1,1,"“本是同根生,相煎何太急。”请问,这是哪位名将的台词?",曹植|曹丕|曹操|曹昂,1,30,103|21|10,,,,,,103|21|5,,,,,
2,1,拔矢啖睛是下面哪位名将的典故?,夏侯渊|夏侯杰|夏侯霸|夏侯惇,4,30,103|21|10,,,,,,103|21|5,,,,,
3,1,"被誉为“王佐之才”、“荀令留香”,且是知名美男子的谋臣是?",贾诩|徐庶|荀彧|郭嘉,3,30,103|21|10,,,,,,103|21|5,,,,,
4,1,"“此乃驱虎吞狼之计!”请问,这是哪位名将的台词?",许攸|荀彧|郭嘉|贾诩,2,30,103|21|10,,,,,,103|21|5,,,,,
5,1,"创建太平道,发动黄巾起义的是哪位名将?",张角|张让|董卓|于吉,1,30,103|21|10,,,,,,103|21|5,,,,,
6,1,"独战东南地人称小霸王,指的是哪位名将?",孙权|孙坚|周瑜|孙策,4,30,103|21|10,,,,,,103|21|5,,,,,
7,1,"杜牧在《赤壁》一诗中,写到“东风不与周郎便,铜雀春深锁二乔”,指的是?",孙尚香|蔡文姬|大乔|貂蝉,3,30,103|21|10,,,,,,103|21|5,,,,,
8,1,东汉末年的十常侍之乱以谁为首?,张恭|张让|赵忠|郭胜,2,30,103|21|10,,,,,,103|21|5,,,,,
9,1,"当时义勇倾三国,万古祠堂遍九州,流芳千古,受后世敬仰膜拜的名将是?",关羽|张飞|赵云|张辽,1,30,103|21|10,,,,,,103|21|5,,,,,
10,1,凤仪亭中垂泪的美人是?,大乔|小乔|关银屏|貂蝉,4,30,103|21|10,,,,,,103|21|5,,,,,
11,1,“用兵之道：攻心为上，攻城为下;心战为上，兵战为下”，这是《三国演义》中哪位将领对诸葛亮的建言？,姜维|马岱|马谡|魏延,3,30,103|21|10,,,,,,103|21|5,,,,,
12,1,汉献帝是被谁扶上台的?,袁术|董卓|曹操|袁绍,2,30,103|21|10,,,,,,103|21|5,,,,,
13,1,"黄巾起义中,自封为“天公将军”的是?",张角|张让|董卓|于吉,1,30,103|21|10,,,,,,103|21|5,,,,,
14,1,"“继丞相之遗志,讨算汉之逆贼!”请问,这是哪位名将的台词?",魏延|蒋琬|杨仪|姜维,4,30,103|21|10,,,,,,103|21|5,,,,,
15,1,凌统的杀父仇人是谁?,黄盖|孙策|甘宁|太史慈,3,30,103|21|10,,,,,,103|21|5,,,,,
16,1,"怒目橫矛,立马于长板桥上,怒吼“谁敢来决死战?”吓退曹军的名将是?",马超|张飞|关羽|赵云,2,30,103|21|10,,,,,,103|21|5,,,,,
17,1,哪位名将曾自称太师?,董卓|曹操|袁绍|袁术,1,30,103|21|10,,,,,,103|21|5,,,,,
18,1,哪位名将与赤兔马有缘?,张飞|赵云|魏延|关羽,4,30,103|21|10,,,,,,103|21|5,,,,,
19,1,"“宁教我负天下人,休教天下人负我!“请问,这是哪位名将的台词?",董卓|孙坚|曹操|刘备,3,30,103|21|10,,,,,,103|21|5,,,,,
20,1,"青梅煮酒论英雄,“天下英雄,唯使君与操耳”这句话是曹操对谁说的?",袁绍|刘备|吕布|孙坚,2,30,103|21|10,,,,,,103|21|5,,,,,
21,1,"身在曹营心在汉,指的是?",徐庶|陈宫|许攸|荀彧,1,30,103|21|10,,,,,,103|21|5,,,,,
22,1,"“谁敢杀我,啊!”请问,这是哪位名将的台词?",姜维|典韦|张飞|魏延,4,30,103|21|10,,,,,,103|21|5,,,,,
23,1,"杀猪的也能逆袭成大将军,妹妹还是大汉皇后,请问指的是?",司马懿|司马师|何进|曹昂,3,30,103|21|10,,,,,,103|21|5,,,,,
24,1,谁是甄姬的夫君?,曹操|曹丕|曹植|曹睿,2,30,103|21|10,,,,,,103|21|5,,,,,
25,1,"温酒斩华雄,是哪位名将的典故?",关羽|张飞|甘宁|吕布,1,30,103|21|10,,,,,,103|21|5,,,,,
26,1,"夷陵之战中,是谁火烧连营,击败刘备大军?",周瑜|鲁肃|吕蒙|陆逊,4,30,103|21|10,,,,,,103|21|5,,,,,
27,1,"子午谷奇谋,是哪位名将提出,但最终未被诸葛亮采纳的?",张苞|赵云|魏延|姜维,3,30,103|21|10,,,,,,103|21|5,,,,,
28,1,帮助曹操遗计定辽东的谋臣是淮?,贾诩|郭嘉|荀彧|许攸,2,30,103|21|10,,,,,,103|21|5,,,,,
29,1,被称为“锦帆游侠”的是哪位武将?,甘宁|周瑜|黄盖|凌统,1,30,103|21|10,,,,,,103|21|5,,,,,
30,1,曹操最喜欢的儿子是?,曹丕|曹植|曹昂|曹冲,4,30,103|21|10,,,,,,103|21|5,,,,,
31,1,"赤壁之战后,曹操痛哭“若奉孝在,不使孤至此”,指的是哪位谋士?",荀攸|贾诩|郭嘉|荀彧,3,30,103|21|10,,,,,,103|21|5,,,,,
32,1,"公孙渊向东吴示好时,孙权打算封他为燕王,是哪位大臣力劝不可,称病不上朝,还用土封了自家大门?",陆逊|张昭|鲁肃|周瑜,2,30,103|21|10,,,,,,103|21|5,,,,,
33,1,"“两耳垂肩,双手过膝,面如冠玉,唇若涂脂”,指的是哪位名将?",刘备|曹操|袁绍|袁术,1,30,103|21|10,,,,,,103|21|5,,,,,
34,1,"“捻指勾弦,气破万军”。请问,这是哪位名将的台词?",诸葛亮|鲁肃|孙策|周瑜,4,30,103|21|10,,,,,,103|21|5,,,,,
35,1,"“且慢,容我三思!”请问,这是哪位名将的台词?",鲁肃|刘备|孙权|孙策,3,30,103|21|10,,,,,,103|21|5,,,,,
36,1,"“肉眼凡胎,岂能窥视仙人变化?”请问,这是哪位名将的台词?",曹仁|左慈|于吉|张角,2,30,103|21|10,,,,,,103|21|5,,,,,
37,1,孙权曾形容谁的脸长像驴?,诸葛瑾|诸葛亮|庞统|鲁肃,1,30,103|21|10,,,,,,103|21|5,,,,,
38,1,"以下哪位名将有""明珠蒙尘”的典故?",陈寿|徐庶|荀彧|陈宫,4,30,103|21|10,,,,,,103|21|5,,,,,
39,1,"袁术认为自己才是袁家嫡子,他认为谁是小妾生的?",刘备|公孙瓒|袁绍|曹操,3,30,103|21|10,,,,,,103|21|5,,,,,
40,1,"以下三国人物中,谁最不喜欢吃梨?",郭嘉|孔融|曹操|荀彧,2,30,103|21|10,,,,,,103|21|5,,,,,
41,1,以下哪位名将曾与刘备同窗,公孙瓒|袁绍|袁术|曹操,1,30,103|21|10,,,,,,103|21|5,,,,,
42,1,张星彩是谁的女儿,张角|张让|张郃|张飞,4,30,103|21|10,,,,,,103|21|5,,,,,
43,1,"“悲歌可以当泣,远望可以当归。”请问,这是哪位名将的台词?",步练师|曹植|蔡文姬|曹操,3,30,103|21|10,,,,,,103|21|5,,,,,
44,1,"蔡文姬被劫掠到匈奴,献给匈奴的左贤王。后来,是谁将蔡文姬接回了中原?",袁绍|曹操|董卓|马超,2,30,103|21|10,,,,,,103|21|5,,,,,
45,1,"“大丈夫,当带三尺之剑,立不世之功!”请问,这是哪位名将的台词?",太史慈|鲁肃|黄盖|陆逊,1,30,103|21|10,,,,,,103|21|5,,,,,
