序号,玩家名称,祝福语内容,主城事件类型,主城事件子类型
id,strName,strBlessings,nMainCityEventType,nMainCityEventSubType
int,string,string,int,int
1,孟小勇,生活如意，事业高升。,1,1
2,李艳,前程似锦，美梦成真。,1,1
3,姜昆,年年今日，岁岁今朝。,1,1
4,庞月云,百事可乐，万事芬达。,1,1
5,潘江河,愿与同僚，共分此乐。,1,1
6,孙梦怡,事业有成，幸福快乐。,1,1
7,陈冲之,生日快乐，幸福安康。,1,1
8,陈自瑶,幸福快乐，与君同在。,1,1
9,孙怡飞,人生是一道风景，快乐是一种心境。,1,1
10,刘国胜,春看桃，夏见柳，秋观菊，冬赏梅，愿幸福陪伴你。,1,1
11,赵东平,月圆是诗，月缺是画，日上灿烂，日落浪漫，祝您永远快乐。,1,1
12,罗大江,得失平常事，是非任由之，恩怨心不愧，冷暖我自知，坎坷人生路，曲折事业梯，凡事太在意，一生好运气！,1,1
13,余大鹏,高雅的人，看背影就知道；奋进的人，听脚步就知道；和善的人，看笑脸就知道；吉祥的人，看您就知道。,1,1
14,蔡洪文,我用祝福为你捻线织衣：前身是平安，后身是幸福，厚肩是吉祥，袖里藏如意，领子蕴藏体贴，口袋盛满快乐。,1,1
15,丁春秋,一江春水向东流，发个信息给朋友；红花绿叶青苹果，今天是否想起我？,1,1
16,周文,山外青山楼外楼，天天上班烦不烦？发个短信吹吹牛，化解你我心中愁！,1,1
17,陈自瑶,幸福快乐，与君同在。,1,2
18,孙怡飞,人生是一道风景，快乐是一种心境。,1,2
19,刘国胜,春看桃，夏见柳，秋观菊，冬赏梅，愿幸福陪伴你。,1,2
20,赵东平,月圆是诗，月缺是画，日上灿烂，日落浪漫，祝您永远快乐。,1,2
21,罗大江,得失平常事，是非任由之，恩怨心不愧，冷暖我自知，坎坷人生路，曲折事业梯，凡事太在意，一生好运气！,1,2
22,余大鹏,高雅的人，看背影就知道；奋进的人，听脚步就知道；和善的人，看笑脸就知道；吉祥的人，看您就知道。,1,2
23,蔡洪文,我用祝福为你捻线织衣：前身是平安，后身是幸福，厚肩是吉祥，袖里藏如意，领子蕴藏体贴，口袋盛满快乐。,1,2
24,丁春秋,一江春水向东流，发个信息给朋友；红花绿叶青苹果，今天是否想起我？,1,2
25,孟小勇,生活如意，事业高升。,2,3
26,李艳,前程似锦，美梦成真。,2,3
27,姜昆,年年今日，岁岁今朝。,2,3
28,庞月云,百事可乐，万事芬达。,2,3
29,潘江河,愿与同僚，共分此乐。,2,3
30,孙梦怡,事业有成，幸福快乐。,2,3
31,陈冲之,生日快乐，幸福安康。,2,3
32,陈自瑶,幸福快乐，与君同在。,2,3
33,孙怡飞,人生是一道风景，快乐是一种心境。,2,3
34,刘国胜,春看桃，夏见柳，秋观菊，冬赏梅，愿幸福陪伴你。,2,3
35,赵东平,月圆是诗，月缺是画，日上灿烂，日落浪漫，祝您永远快乐。,2,3
36,罗大江,得失平常事，是非任由之，恩怨心不愧，冷暖我自知，坎坷人生路，曲折事业梯，凡事太在意，一生好运气！,2,3
37,余大鹏,高雅的人，看背影就知道；奋进的人，听脚步就知道；和善的人，看笑脸就知道；吉祥的人，看您就知道。,2,3
38,蔡洪文,我用祝福为你捻线织衣：前身是平安，后身是幸福，厚肩是吉祥，袖里藏如意，领子蕴藏体贴，口袋盛满快乐。,2,3
