序号,名字,品质,类型,属性掉落ID,属性最大等级,被动最大等级,图标,介绍
id,strName,nQuality,nType,nAttrLootID,nAttrMaxLev,nPassiveMaxLev,strSprite,strDesc
int,string,int,int,int,int,int,string,string
1111001,短刀,1,1,11101,8,4,CommonKnife01_Tex,花纹钢小短刀，做工粗糙，刀刃有点磨损，只能用来防身……
1211001,班剑,1,2,12101,8,4,CommonSword01_Tex,朝服佩剑，纹饰好看，后用作仪仗，由武士佩持，天子以赐功臣。但是杀伤力……
1311001,木矛,1,3,13101,8,4,CommonSpear01_Tex,矛头和矛杆都由木头所制，一不小心就会折断，而且非常容易腐朽。
1411001,木弓,1,4,14101,8,4,CommonBow01_Tex,木制的弓，只比隔壁老王为他儿子做的那只弹弓强力那么一点点。
1511001,羽扇,1,5,15101,8,4,CommonFan01_Tex,鹅毛所制羽扇，居家旅行，纳凉防暑，八卦聊天，必备佳品。
1111002,短刀,1,1,11102,8,4,CommonKnife01_Tex,花纹钢小短刀，做工粗糙，刀刃有点磨损，只能用来防身……
1211002,班剑,1,2,12102,8,4,CommonSword01_Tex,朝服佩剑，纹饰好看，后用作仪仗，由武士佩持，天子以赐功臣。但是杀伤力……
1311002,木矛,1,3,13102,8,4,CommonSpear01_Tex,矛头和矛杆都由木头所制，一不小心就会折断，而且非常容易腐朽。
1411002,木弓,1,4,14102,8,4,CommonBow01_Tex,木制的弓，只比隔壁老王为他儿子做的那只弹弓强力那么一点点。
1511002,羽扇,1,5,15102,8,4,CommonFan01_Tex,鹅毛所制羽扇，居家旅行，纳凉防暑，八卦聊天，必备佳品。
1111003,短刀,1,1,11103,8,4,CommonKnife01_Tex,花纹钢小短刀，做工粗糙，刀刃有点磨损，只能用来防身……
1211003,班剑,1,2,12103,8,4,CommonSword01_Tex,朝服佩剑，纹饰好看，后用作仪仗，由武士佩持，天子以赐功臣。但是杀伤力……
1311003,木矛,1,3,13103,8,4,CommonSpear01_Tex,矛头和矛杆都由木头所制，一不小心就会折断，而且非常容易腐朽。
1411003,木弓,1,4,14103,8,4,CommonBow01_Tex,木制的弓，只比隔壁老王为他儿子做的那只弹弓强力那么一点点。
1511003,羽扇,1,5,15103,8,4,CommonFan01_Tex,鹅毛所制羽扇，居家旅行，纳凉防暑，八卦聊天，必备佳品。
